cluster_id,n_cells,area_km2,centroid_lat,centroid_lon,mean_ba,max_ba,mean_ratio,pct_genuine_ors,dominant_period,dominant_formation
309,44,11.0,54.197819359088186,-2.09537984882091,1391.4946,1927.343,19.630388,0.0,CARBONIFEROUS,YOREDALE GROUP
244,44,11.0,54.8288284303869,-6.868411251780406,1580.5438,1819.2792,16.931934,0.0,CARBONIFEROUS,ARGYLL GROUP
164,43,10.75,56.17407756646564,-3.6813756741060786,1090.856,1180.0757,22.434305,32.55813953488372,CARBONIFEROUS,ARBUTHNOTT-GARVOCK GROUP
254,43,10.75,54.846409389339634,-2.6885452644566454,1195.0629,1293.3165,16.048037,0.0,CARBONIFEROUS,TRIASSIC ROCKS (UNDIFFERENTIATED)
260,43,10.75,54.82365248224663,-1.8060708157270322,1088.348,1216.9867,15.075294,0.0,CARBONIFEROUS,PENNINE LOWER COAL MEASURES FORMATION AND SOUTH WALES LOWER COAL MEASURES FORMATION (UNDIFFERENTIATED)
206,43,10.75,55.657783494019554,-5.171382429976486,2182.9421,2362.6643,24.588036,62.7906976744186,DEVONIAN,"UNNAMED IGNEOUS INTRUSION, PALAEOGENE"
57,42,10.5,57.3621052701948,-6.395428262634144,1112.7347,1270.1917,31.597328,0.0,PALAEOGENE,"UNNAMED EXTRUSIVE ROCKS, PALAEOGENE"
257,42,10.5,54.83652159425752,-1.8886512741660937,1292.3434,1399.1636,15.03656,0.0,CARBONIFEROUS,PENNINE LOWER COAL MEASURES FORMATION AND SOUTH WALES LOWER COAL MEASURES FORMATION (UNDIFFERENTIATED)
12,41,10.25,58.36381682822113,-5.0289069011515934,1429.2395,1645.6355,18.066347,0.0,NONE,LEWISIAN COMPLEX
384,41,10.25,52.584550491762165,-1.857619637729596,1098.6284,1153.631,15.619016,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
186,41,10.25,55.84533076656065,-5.504421299404236,2060.37,2247.96,18.496342,0.0,NONE,ARGYLL GROUP
398,40,10.0,51.806303079332494,-3.0656186836851917,1070.2198,1124.6049,16.182335,65.0,DEVONIAN,LOWER DEVONIAN ROCKS (UNDIFFERENTIATED)
235,40,10.0,55.198634893043184,-2.03040879548066,1092.3461,1228.461,17.418554,0.0,CARBONIFEROUS,YOREDALE GROUP
234,40,10.0,55.20838473495057,-1.9196339579131536,1107.4368,1218.8445,16.530096,0.0,CARBONIFEROUS,YOREDALE GROUP
189,40,10.0,55.76544450826079,-6.077935990583399,1669.0549,2125.0918,21.249506,0.0,NONE,ARGYLL GROUP
11,39,9.75,58.43072104514979,-4.52448857065118,1126.7214,1229.8643,15.236331,0.0,NONE,MORAR GROUP
88,38,9.5,57.03280711881953,-4.500591698814577,1237.4246,1438.68,14.929178,0.0,SILURIAN,GRAMPIAN GROUP
194,38,9.5,55.770356765708705,-4.9169888908345145,1579.0758,1726.7308,23.706865,73.68421052631578,DEVONIAN,STRATHEDEN GROUP
16,38,9.5,58.31430123538651,-4.436563344473072,1261.8219,1351.5856,14.448113,0.0,NONE,MORAR GROUP
84,37,9.25,57.05663771520124,-4.403754920617854,1153.5776,1234.4541,14.68877,0.0,SILURIAN,"UNNAMED IGNEOUS INTRUSION, LATE SILURIAN TO EARLY DEVONIAN"
157,37,9.25,56.29112820570724,-3.6043019738577637,1270.8574,1339.1154,21.012743,29.72972972972973,SILURIAN,"UNNAMED EXTRUSIVE ROCKS, SILURIAN TO DEVONIAN"
177,37,9.25,55.88496492701436,-6.0723581619817635,1234.5688,1308.4601,26.875603,0.0,NONE,ARGYLL GROUP
79,37,9.25,57.21329455967005,-3.097258192488458,1085.6975,1247.3711,23.82388,0.0,ORDOVICIAN,"UNNAMED IGNEOUS INTRUSION, ORDOVICIAN TO SILURIAN"
191,36,9.0,55.836303197560895,-2.2703325756640678,1147.136,1329.2806,15.785793,47.22222222222222,SILURIAN,STRATHEDEN GROUP
125,35,8.75,56.67505769807255,-3.917374285964686,1447.8755,1639.4913,17.964493,0.0,NONE,ARGYLL GROUP
196,35,8.75,55.71611943766597,-6.088717969552113,1364.639,1491.6755,15.292585,0.0,NONE,ARGYLL GROUP
220,34,8.5,55.45096541986867,-3.7526124559551293,1580.5637,1616.0085,19.85598,0.0,ORDOVICIAN,KIRKCOLM FORMATION
109,34,8.5,56.77210194491733,-3.622174854125959,1317.2747,1383.7692,23.418898,0.0,NONE,ARGYLL GROUP
397,34,8.5,51.874806910050786,-3.7674019547397877,4567.4355,4723.7896,54.746742,76.47058823529412,DEVONIAN,LOWER DEVONIAN ROCKS (UNDIFFERENTIATED)
67,34,8.5,57.31211415040349,-5.981415623413443,1233.4155,1429.8678,17.383652,0.0,NONE,TORRIDON GROUP
90,33,8.25,56.99779607528708,-5.80802444018078,1052.5542,1111.319,15.63235,0.0,NONE,MORAR GROUP
311,33,8.25,54.15122264611735,-1.845836732256567,1391.0618,1442.4993,16.816687,0.0,CARBONIFEROUS,MILLSTONE GRIT GROUP [SEE ALSO MIGR]
13,33,8.25,58.35330829028729,-4.6240267974441185,1228.4747,1377.6064,15.313074,0.0,NONE,MORAR GROUP
29,32,8.0,57.682114888470466,-4.7268029740279935,1063.4381,1090.3502,15.119223,0.0,NONE,"UNNAMED IGNEOUS INTRUSION, NEOPROTEROZOIC"
123,32,8.0,56.67387755915654,-4.37698915702829,1066.2437,1109.39,14.73301,0.0,NONE,GRAMPIAN GROUP
32,31,7.75,57.56486980585299,-5.8028238996462305,1155.2999,1181.2999,14.688411,0.0,NONE,TORRIDON GROUP
233,31,7.75,55.22200195283819,-1.8600705413770193,1088.688,1162.7869,15.5583105,0.0,CARBONIFEROUS,YOREDALE GROUP
251,31,7.75,54.79377254235422,-6.706693122614953,1047.4159,1089.2957,17.994104,0.0,CARBONIFEROUS,TYRONE GROUP
266,31,7.75,54.66169327595636,-7.131724241103462,1122.2401,1236.1681,17.024084,0.0,ORDOVICIAN,"UNNAMED EXTRUSIVE ROCKS, ORDOVICIAN"
108,30,7.5,56.74132741725222,-5.376294389243635,1418.5139,1632.6807,15.618644,0.0,NONE,LOCH EIL GROUP
390,29,7.25,52.27953842388083,-3.4088347071202856,1832.477,2051.9197,15.3304615,0.0,ORDOVICIAN,ASHGILL ROCKS (UNDIFFERENTIATED)
303,29,7.25,54.33956533394985,-7.561751349368746,1051.8818,1078.7909,15.422604,0.0,CARBONIFEROUS,KILSKEERY GROUP
225,28,7.0,55.38026756579618,-3.7943005737885014,1912.8333,2124.2976,20.607883,0.0,ORDOVICIAN,PORTPATRICK FORMATION AND GLENWHARGEN FORMATION (UNDIFFERENTIATED)
65,28,7.0,57.293122132155055,-7.2245124978415385,1131.3134,1199.0872,33.810966,0.0,UNDIFF,LEWISIAN COMPLEX
166,27,6.75,56.12837419951137,-5.711173125346282,1319.394,1406.4453,15.859314,0.0,NONE,ARGYLL GROUP
188,27,6.75,55.80053144633481,-5.393739101990969,2064.2998,2239.9053,16.299112,0.0,NONE,SOUTHERN HIGHLAND GROUP
83,27,6.75,57.04436982133217,-6.359721675228235,1236.431,1312.7507,23.154398,0.0,PERMIAN,TORRIDON GROUP
8,26,6.5,58.51150446412082,-4.318308197063564,1121.3243,1241.2219,16.670502,0.0,NONE,LEWISIAN COMPLEX
120,26,6.5,56.686589539717495,-3.8422702897912058,1197.9834,1391.017,17.04938,0.0,NONE,ARGYLL GROUP
46,26,6.5,57.460045572324326,-5.84016536422464,1214.907,1301.563,14.658387,0.0,NONE,TORRIDON GROUP
211,25,6.25,55.58175634700538,-4.205382234257671,1097.6559,1190.2014,20.073662,60.0,SILURIAN,LANARK GROUP
409,24,6.0,51.1426131199874,-3.1988711416095916,1163.5167,1281.2139,16.12749,95.83333333333334,DEVONIAN,MIDDLE DEVONIAN (UNDIFFERENTIATED)
165,24,6.0,56.11436324542785,-6.158216193756175,1189.6138,1207.6852,15.453418,0.0,SILURIAN,"UNNAMED METASEDIMENTARY ROCKS, NEOPROTEROZOIC"
70,23,5.75,57.346182436303664,-2.635211126667467,1096.4717,1122.9374,25.640108,0.0,ORDOVICIAN,"UNNAMED IGNEOUS INTRUSION, ORDOVICIAN TO SILURIAN"
190,22,5.5,55.83338731507726,-2.4032335142059114,1191.3231,1375.0804,15.25477,0.0,SILURIAN,GALA GROUP
87,22,5.5,57.067156503001186,-3.2126117365598748,1216.581,1326.7483,15.134528,0.0,SILURIAN,"UNNAMED IGNEOUS INTRUSION, LATE SILURIAN TO EARLY DEVONIAN"
219,21,5.25,55.4690524872943,-2.261410030019453,2179.7217,2649.691,16.342127,0.0,SILURIAN,"UNNAMED EXTRUSIVE ROCKS, SILURIAN TO DEVONIAN"
150,21,5.25,56.36828152227087,-3.625076886122767,1091.0555,1146.8987,14.805905,100.0,DEVONIAN,ARBUTHNOTT-GARVOCK GROUP
224,20,5.0,55.358407414637824,-5.783735460423699,1490.6995,1529.172,15.10795,0.0,CARBONIFEROUS,SOUTHERN HIGHLAND GROUP
105,20,5.0,56.77785434397513,-4.1078048482687155,1258.8187,1463.7429,14.865949,0.0,NONE,GRAMPIAN GROUP
171,20,5.0,56.06430005601588,-5.805669948643104,1308.6292,1379.0348,15.373016,0.0,NONE,ARGYLL GROUP
49,20,5.0,57.46832628275568,-5.3800149421576995,1194.2662,1390.5969,15.685819,0.0,CAMBRIAN,ARDVRECK GROUP
14,20,5.0,58.34661932201749,-3.996716176996401,1162.9099,1204.4958,14.628253,55.00000000000001,DEVONIAN,LOWER OLD RED SANDSTONE
20,20,5.0,58.11071009407907,-3.6750061608438664,1092.0417,1187.9852,15.895032,25.0,SILURIAN,"UNNAMED IGNEOUS INTRUSION, LATE SILURIAN TO EARLY DEVONIAN"
361,19,4.75,52.959491921241366,-2.822560376334543,1195.1182,1357.3193,16.42086,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
247,18,4.5,54.80091623240979,-7.299345397742373,1095.5626,1157.1931,15.247127,0.0,NONE,ARGYLL GROUP
208,18,4.5,55.60052555075999,-6.251316112187601,1149.8063,1235.3625,15.25337,0.0,NONE,ARGYLL GROUP
360,17,4.25,52.957339469623335,-1.43228328299445,1286.9312,1329.3206,14.444621,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
97,17,4.25,56.97268860574612,-4.435883697032241,1107.7377,1167.1864,14.965665,0.0,NONE,GRAMPIAN GROUP
274,17,4.25,54.711858378973226,-2.03484515473079,1731.092,1817.3746,16.056555,0.0,CARBONIFEROUS,YOREDALE GROUP
30,17,4.25,57.647377207805754,-4.959122824690488,1173.6738,1210.0061,14.857102,0.0,NONE,MORAR GROUP
218,17,4.25,55.47616177280152,-3.2239247256828367,1480.0374,1576.6415,15.061963,0.0,SILURIAN,CRAWFORD GROUP AND MOFFAT SHALE GROUP (UNDIFFERENTIATED)
6,15,3.75,58.55790041392316,-4.488801249964499,1097.766,1137.2389,14.951939,0.0,NONE,MORAR GROUP
389,15,3.75,52.511879976906286,-2.870788333809723,1375.9567,1450.6274,15.456625,0.0,NONE,"UNNAMED METASEDIMENTARY ROCKS, NEOPROTEROZOIC"
156,15,3.75,56.30602860090775,-3.9696591308037386,1069.6854,1173.8911,15.575648,100.0,DEVONIAN,STRATHMORE GROUP
179,14,3.5,55.87420210263139,-6.142707423123869,1050.6599,1086.5944,15.866575,0.0,NONE,ARGYLL GROUP
323,14,3.5,53.633107534592185,-2.0749268266470815,1420.6804,1488.707,15.591798,0.0,CARBONIFEROUS,PENNINE LOWER COAL MEASURES FORMATION AND SOUTH WALES LOWER COAL MEASURES FORMATION (UNDIFFERENTIATED)
61,14,3.5,57.42467174609338,-3.580616185378865,1228.7592,1309.2594,14.658949,0.0,NONE,GRAMPIAN GROUP
160,14,3.5,56.256882390235525,-3.9870459557827687,1240.6178,1335.5483,17.745033,100.0,DEVONIAN,STRATHMORE GROUP
43,13,3.25,57.50175281006033,-5.640923037503863,1343.0594,1376.8605,14.960556,0.0,NONE,TORRIDON GROUP
347,13,3.25,53.20826019235959,-1.0771797431647654,1053.9741,1108.1868,14.6555805,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
91,13,3.25,57.03855285417223,-4.23590106973848,1054.8501,1091.4756,14.716762,0.0,NONE,MOINE SUPERGROUP
181,13,3.25,55.88419903723779,-5.420185993580551,1433.7456,1566.2063,14.5941305,0.0,NONE,ARGYLL GROUP
136,13,3.25,56.59545817761182,-4.963439150870234,1316.5376,1351.9412,15.115904,0.0,SILURIAN,APPIN GROUP
236,13,3.25,55.17401415049786,-2.8946551689460165,1445.2885,1481.5784,15.1746,0.0,CARBONIFEROUS,INVERCLYDE GROUP
261,12,3.0,54.81320540583679,-2.3574613198039245,1598.7646,1719.9347,15.989097,0.0,CARBONIFEROUS,YOREDALE GROUP
25,12,3.0,58.05902781376826,-4.194208217181619,1236.4637,1249.2803,14.344452,0.0,SILURIAN,MORAR GROUP
326,11,2.75,53.53123812634617,-1.090114190537169,1042.2506,1087.1674,15.169378,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
175,11,2.75,55.9771545951189,-5.919127500950259,1033.2168,1057.8545,16.932325,0.0,NONE,ARGYLL GROUP
296,11,2.75,54.5804839862707,-2.455104254601983,1144.3448,1208.3118,16.216408,0.0,PERMIAN,PERMIAN ROCKS (UNDIFFERENTIATED)
215,10,2.5,55.54536806308433,-3.840027992931252,1067.9802,1094.6743,16.995275,0.0,SILURIAN,"UNNAMED EXTRUSIVE ROCKS, SILURIAN TO DEVONIAN"
226,10,2.5,55.3352977275331,-1.8084393909177148,1044.0332,1056.8904,15.245033,0.0,CARBONIFEROUS,BORDER GROUP
268,9,2.25,54.6326910240347,-7.720849533096581,1114.8595,1127.9991,17.367502,0.0,CARBONIFEROUS,ARGYLL GROUP
345,9,2.25,53.220752346879244,-1.0487487925937051,1105.9156,1137.5142,14.734913,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
33,9,2.25,57.56803737342958,-5.970393043923625,1196.5369,1201.9878,20.175318,0.0,NONE,LEWISIAN COMPLEX
102,9,2.25,56.77972267556021,-4.278329882816503,1283.5948,1322.0247,14.730106,0.0,NONE,GRAMPIAN GROUP
272,8,2.0,54.62607763697924,-6.911426436965675,1042.9487,1084.242,14.8586235,0.0,ORDOVICIAN,"UNNAMED IGNEOUS INTRUSION, ORDOVICIAN TO SILURIAN"
182,8,2.0,55.85865131861733,-6.217433494134147,1117.3677,1221.9153,16.17757,0.0,NONE,ARGYLL GROUP
340,8,2.0,53.23934401401915,-1.881590955947663,1326.6184,1365.5566,19.765041,0.0,CARBONIFEROUS,DINANTIAN ROCKS (UNDIFFERENTIATED)
298,8,2.0,54.4546304849678,-7.178457896104618,1050.9586,1092.5331,16.478765,100.0,DEVONIAN,FINTONA GROUP
21,8,2.0,58.087981555173386,-4.1758414707483205,1329.6215,1358.5151,14.523367,0.0,NONE,MOINE SUPERGROUP
227,7,1.75,55.322881628582174,-1.8327014750003554,1133.9895,1287.3588,14.841929,0.0,CARBONIFEROUS,BORDER GROUP
350,7,1.75,53.18464888674053,-3.9169881894633827,1064.113,1110.4679,16.154118,0.0,ORDOVICIAN,CARADOC ROCKS (UNDIFFERENTIATED)
74,7,1.75,57.26987483651278,-3.5662775771577095,1120.835,1146.0686,14.351906,0.0,NONE,GRAMPIAN GROUP
325,7,1.75,53.53519677679981,-1.1199122408753628,1038.0216,1049.456,14.653695,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
111,7,1.75,56.707903225213265,-5.998715220932389,1069.2737,1098.9734,14.79823,0.0,PALAEOGENE,"UNNAMED EXTRUSIVE ROCKS, PALAEOGENE"
291,6,1.5,54.60516349945797,-1.9628144623397963,1299.0671,1362.6284,14.754825,0.0,CARBONIFEROUS,YOREDALE GROUP
204,6,1.5,55.73954553559961,-3.4934097388117196,1073.0175,1090.6222,16.886324,0.0,CARBONIFEROUS,INVERCLYDE GROUP
10,6,1.5,58.463935698344265,-4.430143097683401,1093.1044,1094.0326,14.312898,0.0,NONE,LEWISIAN COMPLEX
344,6,1.5,53.224804464558616,-1.5795677167747362,1125.0033,1130.4994,16.192617,0.0,CARBONIFEROUS,PENNINE LOWER COAL MEASURES FORMATION AND SOUTH WALES LOWER COAL MEASURES FORMATION (UNDIFFERENTIATED)
155,6,1.5,56.30641362350202,-4.757545094565223,1097.0156,1158.7039,14.623883,0.0,SILURIAN,SOUTHERN HIGHLAND GROUP
112,6,1.5,56.6911679603404,-5.375065094947686,1259.3326,1320.3768,15.02358,0.0,NONE,LOCH EIL GROUP
193,6,1.5,55.769489587899955,-5.5407852578001355,1120.7831,1152.6166,14.222108,0.0,NONE,ARGYLL GROUP
128,5,1.25,56.64083112287356,-4.918938518472785,1258.4082,1296.0983,14.871959,0.0,SILURIAN,"UNNAMED EXTRUSIVE ROCKS, SILURIAN TO DEVONIAN"
223,5,1.25,55.44838399145808,-2.262402103609448,2111.516,2219.0764,15.259845,0.0,SILURIAN,"UNNAMED EXTRUSIVE ROCKS, SILURIAN TO DEVONIAN"
317,5,1.25,53.853508350910225,-2.0729324298028518,1141.9102,1213.5879,14.72072,0.0,CARBONIFEROUS,MILLSTONE GRIT GROUP [SEE ALSO MIGR]
329,5,1.25,53.405025996865355,-1.1982398039289526,1365.6453,1378.953,14.22077,0.0,PERMIAN,ZECHSTEIN GROUP
324,5,1.25,53.625571100508566,-2.591150838593374,1204.7501,1221.714,14.644628,0.0,CARBONIFEROUS,PENNINE LOWER COAL MEASURES FORMATION AND SOUTH WALES LOWER COAL MEASURES FORMATION (UNDIFFERENTIATED)
278,5,1.25,54.511883487854426,-8.030357909177482,1038.801,1043.3616,14.774618,0.0,NONE,MOINE SUPERGROUP
133,5,1.25,56.60210617275637,-5.51244442896754,1563.4773,1623.0538,14.728656,0.0,SILURIAN,"UNNAMED IGNEOUS INTRUSION, LATE SILURIAN TO EARLY DEVONIAN"
147,5,1.25,56.43246284376994,-4.94998697743562,1111.8865,1126.9283,18.201904,0.0,NONE,ARGYLL GROUP
96,4,1.0,56.98127670762972,-4.580946741170317,1113.6375,1121.9539,14.392922,0.0,NONE,GRAMPIAN GROUP
55,4,1.0,57.4815818414252,-3.319184853959591,1678.1584,1710.3981,14.269392,0.0,NONE,GRAMPIAN GROUP
271,4,1.0,54.638327800527875,-6.941991364187992,1051.3448,1063.2506,16.621693,0.0,ORDOVICIAN,"UNNAMED IGNEOUS INTRUSION, ORDOVICIAN TO SILURIAN"
132,4,1.0,56.62377338103387,-4.898869865163615,1192.8934,1213.2811,14.490133,0.0,SILURIAN,"UNNAMED IGNEOUS INTRUSION, LATE SILURIAN TO EARLY DEVONIAN"
